GWRODIR_DIR_ID,GWBTDIR_DESC
895,Religious Director Association
414,Religious Studies
20510,Research Compliance Services
20638,Research Core Business Services
3274,Research Development Services
20613,Research Finance & Business Administration
20663,Research High Performance Computing Facility
20637,Research Technology Services
20615,Research and Innovation Services
20666,Retirement Plans Management
20582,Risk Management & Insurance
20407,Robert Donald Clark Honors College
131,Romance Languages
20508,Russian and East European Studies
20602,Safety & Risk Services
619,School Psychology
627,Secondary Special Education & Transition Programs
177,Services for Student Athletes
812,Social Science Instructional Laboratory
422,Sociology
470,Special Education and Clinical Sciences
1887,Sponsored Projects Services
20560,Student Services and Enrollment Management
713,Substance Abuse Prevention Program
155,Summer Session
20593,Sustainable Cities Initiative
6405,Teaching Research-Eugene
173,Tech Assist And Consult Svs/WRRC
140,Technical Science Administration (TSA)
1924,Terrestrial Animal Care Services
20419,The Center at Oregon for Research in Education
145,The Duck Store
435,Theatre Arts
20616,Transportation Services
572,Tutoring and Academic Engagement Center
20670,Tykeson College and Career Advising
158,U O Foundation
17515,UO Libraries
13718,Undergraduate Education and Student Success
693,University Advancement
243,University Career Center
20649,University Communications
515,University Counseling Center
462,University Health Center
520,University Housing
514,University Testing Center
20660,University of Oregon Senate
20636,VP Research Advancement
20541,VP for Equity and Inclusion
1105,Violence And Destructive Behavior
1957,Vivian Olum Child Development Center
12935,Wayne Morse Center for Law and Politics
543,"Women's, Gender and Sexuality Studies"
633,Yamada Language Center
13,Youth Enrichment/TAG Programs
20455,Zebrafish Information Network (ZFIN)
2392,intoCareers
