Code: 573 Name: A S U O, ID: 51771, Is Active: True
Code: 20406 Name: Family and Human Services, ID: 51855, Is Active: True
Code: 192 Name: Finance & Administration, ID: 51856, Is Active: True
Code: 20665 Name: Finance & Administration Shared Services, ID: 59388, Is Active: True
Code: 459 Name: Financial Aid and Scholarships, ID: 51857, Is Active: True
Code: 12816 Name: First-Year Interest Group (FIG) Program, First-Year Programs, ID: 51858, Is Active: True
Code: 20537 Name: Folklore Program, ID: 51859, Is Active: True
Code: 20574 Name: General Counsel, Office of, ID: 51861, Is Active: True
Code: 279 Name: General Science Program, ID: 51862, Is Active: True
Code: 20652 Name: General Social Sciences, ID: 64302, Is Active: True
Code: 20648 Name: Genomics and Cell Characterization Core Facility (GC3F), ID: 51863, Is Active: True
Code: 281 Name: Geography, ID: 51864, Is Active: True
Code: 77 Name: German & Scandinavian, ID: 51865, Is Active: True
Code: 20608 Name: Global and Online Education, ID: 51867, Is Active: True
Code: 19776 Name: Global Education Oregon (GEO), ID: 51866, Is Active: True
Code: 20662 Name: Global Studies Institute, ID: 61481, Is Active: True
Code: 20538 Name: Government Affairs, State and Community Affairs, ID: 51868, Is Active: True
Code: 284 Name: Graduate School, ID: 51870, Is Active: True
Code: 211 Name: Greenhouses, ID: 51871, Is Active: True
Code: 20570 Name: HEDCO Clinic, ID: 51872, Is Active: True
Code: 86 Name: High School Equivalency Program, ID: 51874, Is Active: True
Code: 20555 Name: Histology and Genetic Modification (HGeM), ID: 51875, Is Active: True
Code: 5 Name: Historic Preservation, ID: 51876, Is Active: True
Code: 286 Name: History, ID: 51877, Is Active: True
Code: 203 Name: History of Art and Architecture, ID: 51878, Is Active: True
Code: 1872 Name: Holden Center for Leadership and Community Engagement, ID: 51978, Is Active: True
Code: 34 Name: Human Development, ID: 51879, Is Active: True
Code: 672 Name: Human Physiology, ID: 51880, Is Active: True
Code: 291 Name: Human Resources, ID: 51881, Is Active: True
Code: 204 Name: Humanities Program, ID: 51882, Is Active: True
Code: 1378 Name: IDEA, ID: 51883, Is Active: True
Code: 277 Name: Indigenous, Race, and Ethnic Studies, ID: 51854, Is Active: True
Code: 511 Name: Information Services, ID: 51884, Is Active: True
Code: 20627 Name: Innovation Partnership Services, ID: 51885, Is Active: True
Code: 20673 Name: Institute for Fundamental Science, ID: 81891, Is Active: True
Code: 17139 Name: Institute of Ecology and Evolution, ID: 51888, Is Active: True
Code: 305 Name: Institute of Molecular Biology, ID: 51889, Is Active: True
Code: 801 Name: Institute Sustainable Environment, ID: 51886, Is Active: True
Code: 20547 Name: Institutional Research, ID: 51890, Is Active: True
Code: 336 Name: Intercollegiate Athletics, ID: 51891, Is Active: True
Code: 20640 Name: Internal Audit, Office of, ID: 51892, Is Active: True
Code: 344 Name: International Studies, ID: 51894, Is Active: True
Code: 2392 Name: intoCareers, ID: 51997, Is Active: True
Code: 20668 Name: Investigations & Civil Rights Compliance, Office of, ID: 69401, Is Active: True
Code: 372 Name: Jordan Schnitzer Museum of Art, ID: 51895, Is Active: True
Code: 346 Name: Journalism and Communication, ID: 51896, Is Active: True
Code: 6932 Name: Judaic Studies Program, ID: 51897, Is Active: True
Code: 20659 Name: Knight Campus for Accelerating Scientific Impact, ID: 51898, Is Active: True
Code: 20609 Name: Knight Campus Internship Program, ID: 61476, Is Active: True
Code: 94 Name: Labor Education and Research Center, ID: 51899, Is Active: True
Code: 350 Name: Landscape Architecture, ID: 51900, Is Active: True
Code: 353 Name: Law School, ID: 51901, Is Active: True
Code: 551 Name: Legal Services, ID: 51902, Is Active: True
Code: 2278 Name: Lewis Center for Neuroimaging, ID: 51903, Is Active: True
Code: 362 Name: Linguistics, ID: 51904, Is Active: True
Code: 363 Name: Materials Science Institute, ID: 51905, Is Active: True
Code: 364 Name: Mathematics, ID: 51906, Is Active: True
Code: 8221 Name: Middle Secondary Educ Program, ID: 51907, Is Active: True
Code: 370 Name: Military Science, ID: 51908, Is Active: True
Code: 376 Name: Museum of Natural and Cultural History, ID: 51909, Is Active: True
Code: 382 Name: Music, ID: 51910, Is Active: True
Code: 18464 Name: NeuroInformatics Center, ID: 51911, Is Active: True
Code: 324 Name: Neuroscience, ID: 51912, Is Active: True
Code: 20534 Name: Northwest Indian Language Institute (NILI), ID: 51913, Is Active: True
Code: 10774 Name: OCIAS, ID: 51914, Is Active: True
Code: 415 Name: Office for Research and Innovation, ID: 51915, Is Active: True
Code: 190 Name: Office of the Provost, ID: 51941, Is Active: True
Code: 20655 Name: Ombuds Program, ID: 51916, Is Active: True
Code: 14459 Name: Orbis Cascade Alliance, ID: 51917, Is Active: True
Code: 20669 Name: Oregon Advanced Computing Institute for Science and Society (OACISS), ID: 97787, Is Active: True
Code: 118 Name: Oregon Bach Festival, ID: 51918, Is Active: True
Code: 241 Name: Oregon Career Information System, ID: 51919, Is Active: True
Code: 2711 Name: Oregon Center for Optical, Molecular, and Quantum Science, ID: 51920, Is Active: True
Code: 32 Name: Oregon Executive MBA, ID: 51921, Is Active: True
Code: 287 Name: Oregon Humanities Center, ID: 51922, Is Active: True
Code: 214 Name: Oregon Institute of Marine Biology, ID: 51923, Is Active: True
Code: 110 Name: Oregon University System, ID: 51924, Is Active: True
Code: 725 Name: Orientation Programs, ID: 51925, Is Active: True
Code: 20405 Name: Osher Lifelong Learning (Central Oregon), ID: 51926, Is Active: True
Code: 124 Name: P P P M, ID: 51927, Is Active: True
Code: 233 Name: Payroll Office, ID: 51930, Is Active: True
Code: 384 Name: Philosophy Department, ID: 51931, Is Active: True
Code: 698 Name: Physical Education and Recreation, ID: 51932, Is Active: True
Code: 390 Name: Physics Department, ID: 51933, Is Active: True
Code: 409 Name: Police Department, ID: 51934, Is Active: True
Code: 612 Name: Policy Research and Engagement, Institute for, ID: 51820, Is Active: True
Code: 392 Name: Political Science, ID: 51935, Is Active: True
Code: 400 Name: PORTLAND, University of Oregon in, ID: 51928, Is Active: True
Code: 393 Name: President's Office, ID: 51936, Is Active: True
Code: 20664 Name: Prevention Science, ID: 79256, Is Active: True
Code: 20634 Name: Prevention Science Institute, ID: 51937, Is Active: True
Code: 535 Name: Print Services, ID: 51938, Is Active: True
Code: 20551 Name: Product Design, ID: 51939, Is Active: True
Code: 1130 Name: Proficiency-based Admission Standards Study, ID: 51940, Is Active: True
Code: 398 Name: Psychology Department, ID: 51942, Is Active: True
Code:  Name: Public, ID: 49662, Is Active: True
Code: 20586 Name: Public Records Office, ID: 51943, Is Active: True
Code: 236 Name: Purchasing and Contracting Services, ID: 51944, Is Active: True
Code: 411 Name: Registrar, Office of the, ID: 51945, Is Active: True
Code: 895 Name: Religious Director Association, ID: 51946, Is Active: True
Code: 414 Name: Religious Studies, ID: 51947, Is Active: True
Code: 20615 Name: Research and Innovation Services, ID: 51954, Is Active: True
Code: 20510 Name: Research Compliance Services, ID: 51948, Is Active: True
Code: 20638 Name: Research Core Business Services, ID: 51949, Is Active: True
Code: 3274 Name: Research Development Services, ID: 51950, Is Active: True
Code: 20613 Name: Research Finance & Business Administration, ID: 51951, Is Active: True
Code: 20663 Name: Research High Performance Computing Facility, ID: 51952, Is Active: True
Code: 20637 Name: Research Technology Services, ID: 51953, Is Active: True
Code: 20666 Name: Retirement Plans Management, ID: 59354, Is Active: True
Code: 20582 Name: Risk Management & Insurance, ID: 51955, Is Active: True
Code: 20407 Name: Robert Donald Clark Honors College, ID: 51956, Is Active: True
Code: 131 Name: Romance Languages, ID: 51957, Is Active: True
Code: 20508 Name: Russian and East European Studies, ID: 51958, Is Active: True
Code: 20602 Name: Safety & Risk Services, ID: 51959, Is Active: True
Code: 619 Name: School Psychology, ID: 51960, Is Active: True
Code: 627 Name: Secondary Special Education & Transition Programs, ID: 51961, Is Active: True
Code: 177 Name: Services for Student Athletes, ID: 51962, Is Active: True
Code: 812 Name: Social Science Instructional Laboratory, ID: 51963, Is Active: True
Code: 422 Name: Sociology, ID: 51964, Is Active: True
Code: 470 Name: Special Education and Clinical Sciences, ID: 51965, Is Active: True
Code: 1887 Name: Sponsored Projects Services, ID: 51966, Is Active: True
Code: 20560 Name: Student Services and Enrollment Management, ID: 51967, Is Active: True
Code:  Name: Students, ID: 49638, Is Active: True
Code: 713 Name: Substance Abuse Prevention Program, ID: 51968, Is Active: True
Code: 155 Name: Summer Session, ID: 51969, Is Active: True
Code: 20593 Name: Sustainable Cities Initiative, ID: 51971, Is Active: True
Code: 6405 Name: Teaching Research-Eugene, ID: 51972, Is Active: True
Code: 173 Name: Tech Assist And Consult Svs/WRRC, ID: 51974, Is Active: True
Code: 140 Name: Technical Science Administration (TSA), ID: 51975, Is Active: True
Code: 1924 Name: Terrestrial Animal Care Services, ID: 51778, Is Active: True
Code: 20419 Name: The Center at Oregon for Research in Education, ID: 51976, Is Active: True
Code: 145 Name: The Duck Store, ID: 51977, Is Active: True
Code: 435 Name: Theatre Arts, ID: 51979, Is Active: True
Code: 20616 Name: Transportation Services, ID: 51929, Is Active: True
Code: 572 Name: Tutoring and Academic Engagement Center, ID: 51973, Is Active: True
Code: 20670 Name: Tykeson College and Career Advising, ID: 79230, Is Active: True
Code: 158 Name: U O Foundation, ID: 51980, Is Active: True
Code: 13718 Name: Undergraduate Education and Student Success, ID: 86000, Is Active: True
Code: 693 Name: University Advancement, ID: 51983, Is Active: True
Code: 243 Name: University Career Center, ID: 51803, Is Active: True
Code: 20649 Name: University Communications, ID: 51984, Is Active: True
Code: 515 Name: University Counseling Center, ID: 51829, Is Active: True
Code: 462 Name: University Health Center, ID: 51985, Is Active: True
Code: 520 Name: University Housing, ID: 51986, Is Active: True
Code:  Name: University of Oregon, ID: 47019, Is Active: True
Code: 20660 Name: University of Oregon Senate, ID: 51987, Is Active: True
Code: 514 Name: University Testing Center, ID: 62616, Is Active: True
Code: 17515 Name: UO Libraries, ID: 51981, Is Active: True
Code: 1105 Name: Violence And Destructive Behavior, ID: 51990, Is Active: True
Code: 1957 Name: Vivian Olum Child Development Center, ID: 51991, Is Active: True
Code: 20541 Name: VP for Equity and Inclusion, ID: 51989, Is Active: True
